,repo_id,commit_id,commit_index,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket
143999,sdaschner_jaxrs-analyzer,aa88c263a4a77baf459d596031a4b68b66255626,1,1425045696,"initial commit
",4079eaa589ec7dc1f81bc33b81a87be83da154e8,184,0,0,0,184,"3,3,0,0,0,0,1,13,11,53,27,27,48",13,186,12.0,0
144501,blinkid_blinkid-ui-android,8563916740ee346fd601fcec6a740e180943eef3,0,1536846431,"first commit
",,200,0,0,0,200,"7,7,2,4,1,84,3,6,19,57,5,5",12,200,12.0,0
144516,destro_ebot-csgo-web,028f3ac54aa894834779a721cbf08f605cc3249c,2,1350845688,"First commit
",ae6e35ebf0d0304bf2857cffd07e2136a27c4048,3792,0,0,0,3792,"2,12,47,1089,140,406,433,95,197,179,242,470,348,25,79,29",16,3793,15.0,0
146233,oklai_koala,b9d4bccb48f27c8804423444c1ba1ca972269921,0,1356524008,"first commit
",,232,0,0,0,232,"1,8,7,32,36,65,37,10,11,13,5,5,2,0",13,232,13.0,0
153288,sfsam_snk,2339d2863f2e1d52aa7e67227b4090d730bdc4df,0,1435449024,"Initial commit
",,222,0,0,0,222,"4,16,28,16,1,1,16,108,2,3,27",11,222,11.0,0
157557,cc-tweaked_cc-tweaked,e85cdacbc58dedacb7fcbb119efd2b44db4bcdd6,3,1493645559,"ComputerCraft 1.79 initial upload

Added the complete source code to ComputerCraft 1.79 for Minecraft
1.8.9, plus newly written README and LICENSE files for the open source
release.
",38623b31c4a73ad10315da043de9cdcad862954e,1122,0,0,0,1122,"9,11,2,47,14,2,85,540,332,55,13,13,0,0,0",12,1123,11.0,0
160422,shynixn_petblocks,411e37fa73a7f68bb83e16cf54350c33bf6d1650,0,1484333047,"Initial commit.
",,99,0,0,0,99,"2,0,0,3,1,0,0,0,23,19,16,35,0,0,0",12,99,12.0,0
161621,cferdinandi_gumshoe,81aee5849fcb6f03858c2a024ad0d7d558d3876c,0,1416845109,"Initial commit
",,13621,0,0,0,13621,"3,2,171,88,642,830,2357,1542,2979,975,1985,484,1125,157,232,16,33",17,13621,17.0,0
161622,cferdinandi_gumshoe,7e025f9c203a2845d709ea71229c56d07e417239,1,1416845207,"Added gitignore
",81aee5849fcb6f03858c2a024ad0d7d558d3876c,1,13591,0,0,13592,"4,2,9,11,5,0,0,0,0,0,0,0,0,0,0,0,0",5,31,-12.0,0
162285,linyuzai_concept,58e0c10489122e00eb2a0bdf26c9a2b8354f2987,0,1638103156,"Initial commit
",,93,0,0,0,93,"5,2,6,0,0,0,1,0,0,0,3,65,11,0,0,0,0",13,93,13.0,0
163461,hoitab_tflclassify,6059b2b0de0fb1748d364a7192217c1338b17b84,0,1592001567,"Initial Commit
",,68,0,0,0,68,"7,6,2,2,1,42,0,0,0,2,6",11,68,11.0,0
163652,jetbrains_rd,616e0ad76dbb6df7511e94af7d2982354c2c92f9,0,1508511242,"initial commit from Rider
",,109,0,0,0,109,"0,2,0,0,0,0,21,52,28,5,1,0,0,0",11,109,11.0,0
163653,jetbrains_rd,b750a8bb8c49022ad56e95d5977db2857244b9f5,1,1508512729,"some changes
",616e0ad76dbb6df7511e94af7d2982354c2c92f9,0,109,0,0,109,"0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,0,-11.0,0
163654,jetbrains_rd,39a1ce1e901123ee6fb3cc86276a05d42709612f,2,1508512930,"some more files
",b750a8bb8c49022ad56e95d5977db2857244b9f5,115,0,0,0,115,"3,3,2,0,0,0,0,28,49,24,5,1,0,0",12,115,12.0,0
164597,alibaba_fastjson,01b2479ee9fb9842a0544afd36088c43bc89b688,1,1312113924,"git-svn-id: http://code.alibabatech.com/svn/fastjson/trunk/fastjson@1244 fb902949-7fc4-4485-a80f-4d6ff335c879
",8f0bd9cb5f67f31e767de256401eaa2c074211be,644,0,0,0,644,"2,0,0,3,32,9,7,118,171,229,73,0",11,644,11.0,0
168011,lerry903_ruoyi,262ee25d8e9b307ad24607d3e7c8e2eafbd84d7b,0,1524412829,"若依开源1.1.1发布
",,453,0,0,0,453,"4,2,0,4,10,67,71,88,50,125,7,15,10,0",13,453,13.0,0
168040,lerry903_ruoyi,fccd5830a49b09529b64da4992c9cb0ada81511f,90,1530493968,"delete ruoyi 1.1.6
",35a2114fc84d67f5f2c306224365cf23988439f5,0,472,0,0,472,"0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,0,-13.0,0
168041,lerry903_ruoyi,ffd68de51bcf840d47e07da2d55e0207a55080ac,91,1530494083,"若依 2.0
",fccd5830a49b09529b64da4992c9cb0ada81511f,455,0,0,0,455,"3,5,0,4,9,69,73,88,51,122,6,15,10,0",13,455,13.0,0
168042,lerry903_ruoyi,a66f6034375629600c52f0db669664da70d10e93,100,1531097029,"delete 2.0
",5370f12686bdd867c205372b821d79959b072f42,0,455,0,0,455,"0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,0,-13.0,0
168043,lerry903_ruoyi,57773e6eff3981bde8778498f7f949178f7b215d,101,1531097092,"若依 2.1
",a66f6034375629600c52f0db669664da70d10e93,458,0,0,0,458,"4,5,0,4,9,69,75,88,51,122,6,15,10,0",13,458,13.0,0
1383,unaisulhadi_archives,032b3bbba8d32f14b7bac2bd0d65358f98469687,0,1654362791,"Initial Commit
",,40,0,0,0,40,"6,3,2,1,0,20,0,3,0,4,1",11,40,11.0,1
4197,youseries_uflo,f1ceea51b9473a922b120caea3cc1bac905bd8aa,0,1498476858,"第一次提交
",,700,0,0,0,700,"0,12,19,4,4,29,65,84,215,201,51,12,4",13,700,13.0,1
4219,apache_fineract,4b1ec9ef542a2e5e0e0a23a26bfbe602ab48f4cc,1,1453959931,"initial code push
",453d50a4df3753215c4f7babb8507b5187fe1b07,2732,0,0,0,2732,"7,12,23,27,26,19,19,311,51,256,1823,152,7,0,0",13,2733,12.0,1
4220,apache_fineract,66cee7856b5db8c027598e81ec190ef4b5bedf6a,2,1454318633,"deleted initial code
",4b1ec9ef542a2e5e0e0a23a26bfbe602ab48f4cc,0,2732,0,0,2732,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",1,1,-12.0,1
4221,apache_fineract,378330084c30da4d4ce31a9de77cc860f5ae9586,3,1454319707,"Merge branch 'master' of https://git-wip-us.apache.org/repos/asf/incubator-fineract
","66cee7856b5db8c027598e81ec190ef4b5bedf6a,e409a4f17cc183f79d38b7e5d4d6475408d70641",2734,0,0,0,2734,"7,12,23,29,26,19,19,311,51,256,1823,152,7,0,0",13,2735,12.0,1
8239,qiutiandefeng_yftrain,3f86a30e2977855713ea9a5a2084ffdb8517881a,1,1692083836,"提交新的仓库

提交新的仓库
",d0b19560650c6af72da77eadeccbb8098922d953,544,0,0,0,544,"5,14,16,37,127,43,12,101,9,20,75,70,16",13,545,12.0,1
8894,gliderlabs_registrator,e2677212c2d851e64581286e4c8e99ec9ba8fead,51,1424281983,"overhaul of build/release system, modeled after logspout overhaul
",ee8720d50ab6677ca6e4932cfc1e03a040cbdbd6,4,215,0,0,219,"15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",1,15,-16.0,1
11842,hypercubesoft_hckalmanfilter,937d234a19e19cbca8fe0bdfbe2716534680afd6,1,1502099280,"Initial version
",90df0f22557464c8182104d6b0e96a8ee2342eb5,830,0,0,0,830,"3,3,7,17,97,42,142,175,78,67,95,63,42",13,831,12.0,1
14347,jethrocarr_namedmanager,7e7dfb971ce2f6c009ed77f8ecb12cadf833a5be,184,1382798852,"Included Amazon AWS SDK
",998b669dbe1d2b5579a2ee5f5261d3be111429b0,1244,0,0,0,1244,"2,42,53,45,1,3,167,907,79,18,32,11,9,9,4,4",16,1386,12.0,1
