,repo_id,commit_id,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket
17236,gisto_gisto,3ae0a1e4288bd42c788d917030e27227dd246dbb,1364995318,"merged maayan
","e2e3cfba6677d98b4df3ae49041c90739878d9a5,e7a9c6cf8bc1aa6f1d51bde311ef11334e365d8e",2,0,0,0,2,"2,16,27,4,30,4,90,61,94,186,200,136,14,17,47,5,0,1",18,934,0.0,55
17237,gisto_gisto,7daa729e997b7e2df588c0e6c15f0cb1f833d9a0,1365274556,"Added gitignore
",ca583b7372e0964a06169922d3d7f0d25e9ead1b,1,3,0,0,4,"3,14,26,4,30,4,90,61,94,186,200,136,14,17,47,5,0,1",18,932,0.0,55
17238,gisto_gisto,6a5b0ed95058fdb290327804a69c92b90367e299,1366240251,"comment out 'gistsLastUpdated' for now
",c14c257fbd59c0761d34d24e25d8f81fb44ba544,2,0,0,0,2,"3,14,28,4,30,4,90,61,94,186,200,136,14,17,47,5,0,1",18,934,0.0,55
17239,gisto_gisto,220e723fb56a6dbcef135b8a61b6b89ef71028b8,1366245032,"Single view loaded from ng-view.
Very broken - WIP
",6a5b0ed95058fdb290327804a69c92b90367e299,2,0,0,0,2,"3,15,29,4,30,4,90,61,94,186,200,136,14,17,47,5,0,1",18,936,0.0,55
17240,gisto_gisto,43fca214fe13e55f635e990b7ab491f75971fa1e,1366407171,"Merge master into maayan

Conflicts:
	app/css/app.css
	app/index.html
	app/js/app.js
	app/js/controllers.js
	app/login.html
	app/partials/create.html
	app/partials/single-gist.html
","220e723fb56a6dbcef135b8a61b6b89ef71028b8,f8629f534f19a7ac4261a2454038c6af1d19c611",1,3,0,0,4,"3,15,27,4,30,4,90,61,94,186,200,136,14,17,47,5,0,1",18,934,0.0,55
17241,gisto_gisto,e27650e50690d7f0c59250f0e3b5e1d90beb4c58,1371412900,"Merge branch 'master' into maayan

Conflicts:
	app/js/app.js
	app/js/controllers.js
	app/js/services.js
","e92c13a747ac71cf0a17c64b13b07b71a381e231,93f6fa2bce0fe942f55a1fd848290e482fcd15f3",35,910,2,0,947,"8,4,27,9,7,0,4,0,0,0,0,0,0,0,0,0,0,0",7,59,-11.0,55
17242,gisto_gisto,561e950b42029399317b6bb127713a47a1dcfc42,1371684470,"Added version checker
Rewrote the save function of application settings to be more versatile.
Changed appearance  of main application screen.
",119e13739e22e23712b4cc4034e35f9974cb0b49,3,0,0,0,3,"8,4,30,9,7,0,4,0,0,0,0,0,0,0,0,0,0,0",7,62,0.0,55
17243,gisto_gisto,ff7df2d46e59a4e215ed5fa575fa1eeba7752aa3,1371755570,"Icon mess fix
",0d242bf46bc9c551ee543690797bbd770b8a0ef6,1,1,0,0,2,"8,4,30,9,7,0,4,0,0,0,0,0,0,0,0,0,0,0",7,62,0.0,55
17244,gisto_gisto,6578fdd5cac55f7fc9bc78e3291a8c3b017f2986,1371972627,"* Fixed themes colors on starred gists
* Updated .gitignore
* Default color theme changed.
",369f20b023d0a9e5d017143763d34c50451dac8c,0,0,1,0,1,"8,4,30,9,7,0,4,0,0,0,0,0,0,0,0,0,0,0",7,62,0.0,55
17245,gisto_gisto,28a5897ced704f675a073c635b8841907e5a8c87,1372492256,"Add ""watch"" to grunt (currently watches jsmin).
",1a5f843939f4b7a9854f5c0c64e64e08f63b5be7,0,1,0,0,1,"8,4,29,9,7,0,4,0,0,0,0,0,0,0,0,0,0,0",7,61,0.0,55
17246,gisto_gisto,c3f57ade0058e29c97a90501cc996b6c764b8ac3,1373233519,Delete .DS_Store,06b6b4b69e68e5eeeed6e25034b8e9fb523bdf7d,0,1,0,0,1,"7,4,29,9,7,0,4,0,0,0,0,0,0,0,0,0,0,0",7,60,0.0,55
17247,gisto_gisto,1b19153216c27cfec6386b4935023b75b570741b,1373233555,Delete .DS_Store,c3f57ade0058e29c97a90501cc996b6c764b8ac3,0,1,0,0,1,"7,3,29,9,7,0,4,0,0,0,0,0,0,0,0,0,0,0",7,59,0.0,55
17248,gisto_gisto,8c171b478802e8edb99c84cd4c95271de0319cc0,1374185213,"* Add: Font size to settings
* Update: Ace editor (more themes, more syntax modes and some new settings).
* Changed all ""ng-something"" to ""data-ng-something""
",a00a65ac5c4da31adfa336b96e14f092b3ba29aa,2,0,0,0,2,"7,5,29,9,7,0,4,0,0,0,0,0,0,0,0,0,0,0",7,61,0.0,55
17249,gisto_gisto,74eb179816634b534e242cdf15f53979779e7637,1374488107,"Split services,directive,filters, controllers to separate files.
",408e978199f5068bb99c1cc6effc31ce5bfd9218,18,2,4,0,24,"7,3,25,31,7,0,4,0,0,0,0,0,0,0,0,0,0,0",7,77,0.0,55
17250,gisto_gisto,6241d3e9e68890e7d956c11ea05d9aface10da7b,1374508261,"Better layout of the project, soursemaps works, some typo fix.
",74eb179816634b534e242cdf15f53979779e7637,0,1,0,1,2,"6,3,25,31,7,0,4,0,0,0,0,0,0,0,0,0,0,0",7,76,0.0,55
17251,gisto_gisto,ff79531cb52d898629219909b29af0439222321b,1374508573,"Ooops.
",6241d3e9e68890e7d956c11ea05d9aface10da7b,1,0,0,0,1,"6,3,26,31,7,0,4,0,0,0,0,0,0,0,0,0,0,0",7,77,0.0,55
